calories,protein,fat,carbohydrates
107.0,16.1,2.68,5.36
109.0,18.2,1.82,1.82
179.0,20.65,7.52,6.16
164.0,16.4,9.09,1.82
500.0,27.8,32.1,5.56
250.0,21.0,15.8,6.58
368.0,25.9,28.7,1.6
316.0,11.0,29.1,2.45
107.0,16.7,2.98,3.57
109.0,19.8,1.5,4.3
179.0,19.0,8.33,8.33
107.0,17.9,1.79,5.36
107.0,17.9,1.79,3.57
393.0,21.4,32.1,3.57
107.0,16.1,1.79,3.57
143.0,23.2,5.36,1.79
339.0,21.4,26.8,1.79
154.0,8.13,7.5,14.36
115.0,18.6,3.69,0.64
238.0,14.3,14.3,14.3
230.0,23.0,13.3,0.88
204.0,16.8,11.5,7.96
1014.0000000000008,18.2,19.0,0.47
240.0,14.62,13.58,14.86
190.0,19.0,8.33,11.9
194.0,18.8,9.41,8.24
1000.0,14.6,13.6,14.9
298.0,13.36,19.23,17.88
287.0,14.85,19.58,12.84
212.0,14.1,11.8,11.8
165.0,3.5,5.0,27.5
143.0,23.8,3.57,1.19
182.0,28.9,7.34,0.14
212.0,19.5,14.2,0.88
196.0,31.0,7.83,0.47
379.0,7.74,4.01,52.74000000000001
244.0,10.3,11.5,24.4
241.0,14.3,9.82,25.0
247.0,16.5,16.5,7.06
272.0,9.0,13.85,27.92
167.0,5.13,7.69,19.2
1014.0000000000008,11.7,29.5,5.31
186.0,17.7,9.73,6.19
286.0,14.4,22.2,8.06
89.0,16.1,1.79,3.57
136.0,18.6,4.24,6.78
102.0,18.6,0.85,5.08
214.0,26.8,12.5,1.79
107.0,17.9,1.79,3.57
368.0,17.5,31.6,3.51
161.0,23.2,5.36,1.79
400.0,20.0,32.1,3.33
125.0,17.9,4.46,7.14
464.0,21.4,32.1,3.57
321.0,25.0,25.0,3.57
353.0,23.5,26.5,2.94
102.0,17.0,0.85,3.39
321.0,21.4,25.0,7.14
298.0,26.3,21.0,1.75
152.0,19.2,6.1,6.8
214.0,28.6,10.7,3.57
344.0,12.8,26.4,14.4
119.0,17.0,4.24,1.69
225.0,14.1,9.86,21.1
115.0,17.3,3.85,7.69
294.0,7.06,14.1,33.5
187.0,23.7,7.0,10.2
1014.0000000000008,10.9,26.1,4.29
222.0,25.6,9.3,11.9
179.0,13.5,6.5,22.1
197.0,23.0,9.6,8.6
213.0,23.9,9.3,8.5
100.0,3.57,9.29,0.71
174.0,16.4,6.3,15.5
228.0,14.8,9.9,18.8
300.0,13.8,15.0,26.2
218.0,15.5,9.15,19.0
133.0,4.31,4.71,19.2
195.0,13.0,9.09,14.3
247.0,24.7,15.0,4.3
165.0,17.6,7.06,7.06
238.0,17.5,11.2,18.8
212.0,24.8,9.73,6.19
202.0,14.9,8.51,17.0
183.0,20.7,7.32,3.66
144.0,22.0,1.6,12.4
150.0,11.4,2.3,24.6
235.0,16.5,11.8,15.3
193.0,12.1,9.29,15.0
177.0,10.6,9.73,12.4
256.0,18.9,10.0,24.4
203.0,13.0,3.62,30.4
200.0,12.1,6.43,23.6
94.0,2.92,0.67,18.39
250.0,13.8,12.5,23.8
197.0,14.1,6.34,22.5
312.0,20.8,20.8,6.25
247.0,15.3,11.8,18.8
382.0,1.65,0.2,21.1
188.0,18.2,11.8,2.35
229.0,19.4,16.5,0.59
517.0,29.1,32.1,0.8
336.0,15.8,29.9,0.9
157.0,26.5,4.9,0.98
116.0,17.0,4.46,0.89
298.0,24.6,17.5,5.26
518.0,18.2,5.09,0.07
263.0,14.7,15.8,15.0
189.0,31.6,4.74,3.16
202.0,21.15,9.15,7.34
102.0,23.7,0.7,0.3
119.0,21.4,2.38,1.19
165.0,1.09,1.13,6.24
131.0,23.8,2.98,2.38
200.0,18.8,9.41,9.41
211.0,19.7,12.7,3.34
174.0,12.0,8.7,13.0
190.0,13.1,7.14,17.9
264.0,14.1,16.1,15.8
107.0,19.6,1.79,1.79
189.0,20.02,8.69,6.48
119.0,23.8,2.38,1.19
36.0,2.52,1.2,3.53
185.0,1.96,11.52,18.76
127.0,23.9,2.82,2.82
197.0,1.92,13.03,18.4
106.0,1.97,5.01,13.3
100.0,14.11,3.71,2.41
118.0,20.0,2.94,2.35
294.0,18.62,20.59,7.15
131.0,22.6,4.17,1.19
287.0,14.8,19.6,12.8
159.0,0.88,11.8,12.4
1014.0000000000008,16.4,12.9,17.6
157.0,10.26,8.13,10.63
224.0,10.5,11.8,19.7
175.0,10.68,8.1,16.0
247.0,11.8,15.3,14.1
120.0,16.2,4.23,9.15
131.0,25.0,1.79,2.38
1014.0000000000008,15.7,12.9,22.9
1014.0000000000008,17.7,21.7,21.2
167.0,11.9,7.14,13.1
214.0,15.5,10.7,14.3
89.0,15.35,3.58,33.6
154.0,5.58,0.56,2.88
117.0,4.92,10.32,28.74
317.0,13.3,9.56,31.87
450.0,3.94,10.4,5.17
261.0,11.43,12.4,37.52
402.0,15.84,9.82,9.98
286.0,10.18,14.24,32.59
362.0,15.13,6.91,19.69
180.0,9.11,11.5,31.57
127.0,19.4,6.09,5.6
366.0,18.3,2.08,30.57
301.0,17.84,12.56,7.68
489.0,15.77,12.0,16.96
384.0,9.26,11.1,22.56
487.0,3.16,2.14,19.58
318.0,19.84,11.45,13.47
193.0,8.57,4.18,19.14
139.0,17.32,11.43,3.4
118.0,11.35,0.39,28.04
477.0,8.27,3.73,18.69
408.0,10.29,6.29,29.31
297.0,13.71,7.88,27.86
110.0,8.76,4.0,3.05
413.0,19.75,2.03,16.53
277.0,1.4,8.23,43.71
408.0,9.43,4.78,27.78
162.0,7.04,1.03,40.62
99.0,5.94,8.77,36.16
295.0,2.56,14.3,38.19
122.0,2.91,13.28,9.78
333.0,5.04,0.03,12.79
161.0,13.51,7.44,27.41
467.0,19.74,10.68,43.72
420.0,2.82,12.87,49.65
439.0,2.51,11.04,26.51
426.0,11.65,1.7,35.73
321.0,12.04,8.81,48.57
241.0,8.53,3.64,7.12
134.0,12.93,12.8,13.37
381.0,2.61,0.14,22.8
337.0,6.68,12.14,21.4
99.0,10.14,11.39,9.03
420.0,18.46,0.12,31.31
212.0,7.14,3.97,21.82
164.0,14.19,0.29,39.29
93.0,11.51,4.63,10.82
358.0,2.42,5.8,33.21
112.0,14.89,0.39,44.79
149.0,9.4,14.99,10.44
307.0,9.95,7.88,18.24
